 
# GREAT version 2.0.2	Species assembly: hg19	Association rule: Basal+extension: 5000 bp upstream, 1000 bp downstream, 1000000 bp max extension, curated regulatory domains included
# Ontology summary statistics are provided in the footer.
#
# Ontology	ID	Desc	BinomRank	BinomP	BinomBonfP	BinomFdrQ	RegionFoldEnrich	ExpRegions	ObsRegions	GenomeFrac	SetCov	HyperRank	HyperP	HyperBonfP	HyperFdrQ	GeneFoldEnrich	ExpGenes	ObsGenes	TotalGenes	GeneSetCov	TermCov	Regions	Genes
GO Molecular Function	GO:0005488	binding	1	2.646614e-8	9.001134e-5	9.001134e-5	1.165310e+0	1.681956e+2	196	8.086327e-1	9.423077e-1	4	2.807825e-4	9.549413e-1	2.387353e-1	1.137335e+0	2.031064e+2	231	11855	7.598684e-1	1.948545e-2	30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,35,35,35,35,35,35,35,35,35,36,36,36,36,36,36,36,36,36,36,37,37,37,37,37,37,37,37,38,38,38,38,38,38,38,38,38,38,38,38,39,39,39,39,40,40,40,40,40,41,41,41,41,41,42,42,42,43,43,44,45,46,47,47,48,48,49,49,49,51,51,51,55,55,55,56,56,57,61,66	ABCC3,ABI3,ACTG1,ACTN4,AGBL5,AKAP13,AKR1B10,AKR1C3,AKT1S1,ALDH1A3,ALOXE3,ANXA2,ANXA8L1,ARL4A,ARMC12,ATOH8,ATXN10,AUH,AURKB,BANF1,BANP,BBC3,BCAR1,BHLHE40,BMP7,C10orf140,C12orf76,C20orf29,C20orf94,C2orf63,CALM2,CAPG,CAPN12,CCL20,CCND1,CCR7,CDC25B,CHD2,CKS1B,CLCF1,CLDN6,CLTC,CREG1,CRHR1,CSNK1D,CTC1,CYB5D1,CYP2B7P1,DDIT4,DDX5,DHX37,DPF1,DUSP1,E2F2,EIF1,EIF1AD,EIF4B,ENO3,ERCC1,ERGIC1,FBLIM1,FBLN1,FBXO27,FEM1B,FKBP5,FOXB1,FRMD8,FTL,GABPB1,GALNT2,GAPDH,GLI2,GPATCH1,GPN3,GSK3A,GTF2A1,GTF2H1,GYS1,H2AFJ,HES7,HEXIM1,HHAT,HIST2H2AB,HIST2H2AC,HIST2H2BE,HIST4H4,HNRNPA1,HNRNPL,HNRNPUL1,ICT1,ID1,ID3,IGF1R,IGF2BP1,IGFBP4,ITGB1,ITGB5,ITPKC,KCNH1,KIAA1267,KIF3C,KLF10,KLF9,KPNB1,KRR1,KRT15,KRT81,LASP1,LASP1,LDHA,LIPC,LITAF,LPXN,LUC7L2,LUC7L3,MAN2C1,MAT2A,MGAT5B,MKKS,MLL4,MON2,MPZL1,MRPL48,MRPS12,MYC,NDUFS8,NEBL,NEURL1B,NFE2L1,NFKBIA,NOL8,NR2E3,NRP1,NTN4,NTPCR,OSBP,PBK,PCBP1,PCBP2,PCGF2,PDE8A,PEX13,PFN1,PHLDA1,PKM2,PLEKHA1,PLEKHG6,PLEKHM1,POLR2A,POLR2I,PPP1R13L,PPYR1,PRMT1,PSMD3,PTPN6,PUS10,PVRL2,PYGB,RAB10,RAB3C,RABAC1,RBM39,RNASE4,RNF24,RPH3AL,RPS19,RPS27A,RTN4,S100A11,SAE1,SARS2,SCD,SCYL1,SEC14L1,SERPINE1,SERPINF2,SERTAD3,SF3B14,SHC1,SMAD3,SMAD6,SMG7,SNRPA,SNRPF,SNX5,SPHKAP,STAT6,STRN4,STX1A,SYK,TACC2,TBCB,TCHHL1,TFAP2C,TFCP2L1,TGFB1,THAP8,THOC6,TIMM9,TLE3,TMPO,TNFRSF1A,TNS4,TOB1,TP53I3,TRIB1,TRIM41,TRIM47,TRIM56,TUBD1,TXNRD1,UBC,ULK2,UQCRHL,USP3,WBP2,WNK1,WNT8B,ZBTB4,ZBTB7B,ZCWPW1,ZFAND5,ZFP91,ZMAT4,ZNF146,ZNF302,ZNF384,ZNF469,ZNF507,ZNF565,ZNF579
GO Molecular Function	GO:0004030	aldehyde dehydrogenase [NAD(P)+] activity	2	1.857886e-6	6.318670e-3	3.159335e-3	4.780612e+1	8.367129e-2	4	4.022658e-4	1.923077e-2	1	9.585183e-5	3.259921e-1	3.259921e-1	2.918421e+1	1.027953e-1	3	6	9.868421e-3	5.000000e-1	30,31,34,37	ALDH1A3,ALDH3A1,ALDH3B1
GO Molecular Function	GO:0001601	peptide YY receptor activity	3	7.610201e-6	2.588229e-2	8.627431e-3	8.278811e+1	3.623709e-2	3	1.742168e-4	1.442308e-2	82	5.052491e-2	1.000000e+0	1.000000e+0	1.945614e+1	5.139766e-2	1	3	3.289474e-3	3.333333e-1	33,37,51	PPYR1
GO Molecular Function	GO:0001602	pancreatic polypeptide receptor activity	3	7.610201e-6	2.588229e-2	8.627431e-3	8.278811e+1	3.623709e-2	3	1.742168e-4	1.442308e-2	82	5.052491e-2	1.000000e+0	1.000000e+0	1.945614e+1	5.139766e-2	1	3	3.289474e-3	3.333333e-1	33,37,51	PPYR1
GO Molecular Function	GO:0035605	peptidyl-cysteine S-nitrosylase activity	5	8.453544e-6	2.875050e-2	5.750101e-3	4.845710e+2	4.127362e-3	2	1.984309e-5	9.615385e-3	27	1.713255e-2	1.000000e+0	1.000000e+0	5.836842e+1	1.713255e-2	1	1	3.289474e-3	1.000000e+0	33,48	GAPDH
GO Molecular Function	GO:0004365	glyceraldehyde-3-phosphate dehydrogenase (NAD+) (phosphorylating) activity	6	1.246507e-5	4.239370e-2	7.065617e-3	3.989353e+2	5.013344e-3	2	2.410262e-5	9.615385e-3	56	3.397253e-2	1.000000e+0	1.000000e+0	2.918421e+1	3.426510e-2	1	2	3.289474e-3	5.000000e-1	33,48	GAPDH
GO Molecular Function	GO:0004033	aldo-keto reductase (NADP) activity	7	3.135753e-5	1.066470e-1	1.523528e-2	2.317973e+1	1.725646e-1	4	8.296373e-4	1.923077e-2	2	1.306543e-4	4.443553e-1	2.221776e-1	1.459211e+1	2.741208e-1	4	16	1.315789e-2	2.500000e-1	33,33,34,37	AKR1B10,AKR1C3,AKR1C4,ALDH3A1
GO Molecular Function	GO:0016620	oxidoreductase activity, acting on the aldehyde or oxo group of donors, NAD or NADP as acceptor	8	3.255796e-5	1.107296e-1	1.384120e-2	1.021672e+1	5.872729e-1	6	2.823427e-3	2.884615e-2	6	1.086073e-3	1.000000e+0	6.156224e-1	8.647173e+0	4.625789e-1	4	27	1.315789e-2	1.481481e-1	30,31,33,34,37,48	ALDH1A3,ALDH3A1,ALDH3B1,GAPDH
GO Molecular Function	GO:0035758	chemokine (C-C motif) ligand 21 binding	9	5.137352e-5	1.747213e-1	1.941348e-2	1.961723e+2	1.019512e-2	2	4.901499e-5	9.615385e-3	27	1.713255e-2	1.000000e+0	1.000000e+0	5.836842e+1	1.713255e-2	1	1	3.289474e-3	1.000000e+0	31,51	CCR7
GO Molecular Function	GO:0035757	chemokine (C-C motif) ligand 19 binding	9	5.137352e-5	1.747213e-1	1.941348e-2	1.961723e+2	1.019512e-2	2	4.901499e-5	9.615385e-3	27	1.713255e-2	1.000000e+0	1.000000e+0	5.836842e+1	1.713255e-2	1	1	3.289474e-3	1.000000e+0	31,51	CCR7
