	GO:0043226	GO:0043231	GO:0005623	GO:0044424	GO:0044464	GO:0043229	GO:0005622	GO:0043227	GO:0044446	GO:0005634	GO:0044428	GO:0044422	GO:0070013	GO:0043233	GO:0031974	GO:0016604	GO:0005654	GO:0031981	GO:0032991	GO:0005737	GO:0044444	GO:0044451	GO:0005829	GO:0006807	GO:0008152	GO:0034641	GO:0031967	GO:0006139	GO:0005730	GO:0031975	GO:0044237	GO:0044238	GO:0043232	GO:0005739	GO:0005635	GO:0016607	GO:0044260	GO:0044429	GO:0031966	GO:0043170	GO:0005740	GO:0000785	GO:0031965	GO:0005759	GO:0030529	GO:0005793	GO:0044445	GO:0005774	GO:0090304	GO:0042470	GO:0005741	GO:0005488	GO:0000786	GO:0043234	GO:0005758	GO:0005813	GO:0044437	GO:0031970	GO:0005815	GO:0044455	GO:0016605	GO:0019866	GO:0009058	GO:0005840	GO:0003676	GO:0044249	GO:0031090	GO:0016070	GO:0044448	GO:0015630	GO:0003924	GO:0031968	GO:0033116	GO:0005625	GO:0030496	GO:0032155	GO:0030120	GO:0015934	GO:0019867	GO:0051082	GO:0005694	GO:0071013	GO:0005637	GO:0022626	GO:0032154	GO:0046907	GO:0035770	GO:0030176	GO:0010467	GO:0035097	GO:0016234	GO:0006996	GO:0031301	GO:0005770	GO:0051649	GO:0017111	GO:0043933	GO:0031227	GO:0071339	GO:0005652
HaibTfbsA549Atf3	4.714448e-50	1.847645e-39	6.357467e-44	1.132856e-70	2.907019e-44	1.778815e-50	7.286057e-70	8.455624e-40	3.706382e-55	1.041099e-31	4.087874e-36	1.150206e-53	1.396337e-27	2.644469e-31	1.542718e-31	1.097012e-6	1.764391e-31	6.081220e-33	1.277072e-35	7.546498e-43	7.921531e-34	3.897294e-16	3.963392e-48	8.566306e-32	9.035885e-52	2.876617e-30	2.350118e-8	2.033616e-31	3.328527e-3	9.463712e-6	4.810936e-54	6.602442e-53	1.384273e-29	2.063720e-1	1.100944e-13	1.000000e+0	7.560945e-30	1.000000e+0	1.000000e+0	7.008337e-31	1.000000e+0	2.002986e-17	1.924115e-13	1.000000e+0	7.272217e-7	1.739891e-4	1.429335e-3	1.120476e-6	5.834690e-19	3.437352e-3	1.000000e+0	5.582123e-47	1.987627e-32	3.140810e-19	1.000000e+0	1.000000e+0	3.718551e-5	1.000000e+0	7.340079e-3	3.590214e-1	2.473120e-7	1.000000e+0	6.057623e-9	1.254963e-4	2.030765e-6	1.228647e-10	2.561908e-8	1.628791e-13	1.000000e+0	6.917217e-4	1.874451e-4	1.000000e+0	9.583628e-8	1.517136e-12	4.526052e-3	1.222297e-2	6.509436e-3	1.226974e-4	1.000000e+0	6.889827e-2	1.322737e-7	1.000000e+0	3.039203e-3	1.029862e-2	3.645173e-3	1.856593e-15	1.000000e+0	1.000000e+0	5.490985e-10	1.000000e+0	1.000000e+0	1.821002e-17	NA	1.000000e+0	2.538013e-22	4.006704e-4	1.346284e-31	1.000000e+0	1.000000e+0	2.949804e-1	
HaibTfbsA549Bcl3	4.732211e-60	3.552952e-45	3.547271e-55	1.344357e-92	1.379366e-55	3.576883e-60	1.932784e-92	1.292178e-45	1.609610e-55	1.238890e-34	1.596157e-38	1.959159e-53	7.426288e-33	1.081315e-37	2.653351e-39	1.760242e-4	1.309133e-28	5.337370e-37	3.786389e-50	7.509036e-69	9.974895e-56	1.819608e-9	2.850253e-71	1.649016e-48	1.621658e-69	3.309405e-45	2.195023e-6	1.685712e-45	2.984184e-8	5.895079e-4	1.985528e-74	1.178125e-67	2.099709e-35	1.611557e-6	3.966427e-3	7.550491e-5	3.026234e-30	9.960527e-4	2.259147e-1	7.769074e-30	4.720799e-2	7.014080e-1	8.009147e-2	4.208709e-1	1.929606e-30	7.244377e-5	5.381944e-17	6.469676e-4	8.309838e-24	2.600960e-1	1.000000e+0	2.890536e-52	1.000000e+0	4.771665e-25	1.000000e+0	1.000000e+0	1.830573e-3	1.000000e+0	7.021504e-2	9.627079e-2	1.000000e+0	1.643913e-4	1.400503e-20	1.054020e-21	1.773559e-3	3.550064e-21	7.626207e-5	1.293303e-17	1.317609e-2	8.743776e-4	1.501453e-5	NA	5.620795e-9	1.298072e-19	2.280264e-1	1.947988e-4	1.000000e+0	2.101166e-18	NA	5.305543e-1	1.000000e+0	9.709591e-1	9.356246e-5	8.845220e-22	8.250641e-5	4.495481e-19	1.000000e+0	2.472345e-3	2.063880e-13	1.000000e+0	1.000000e+0	4.493407e-14	1.000000e+0	1.000000e+0	1.552992e-26	2.349441e-2	8.788510e-34	9.190902e-2	2.326951e-1	2.812194e-3	
HaibTfbsA549Creb1sc240	7.963919e-86	1.047859e-67	1.725017e-45	6.320599e-141	4.751904e-46	4.217196e-88	9.519858e-146	5.070469e-68	5.737411e-45	2.480627e-42	1.287673e-41	7.851912e-42	2.281533e-42	6.359046e-40	1.389422e-41	1.381374e-12	6.746689e-27	1.731509e-36	4.038753e-21	1.637726e-25	5.209100e-30	2.350458e-5	4.648565e-48	7.069390e-34	2.752372e-42	8.429455e-35	4.434235e-11	7.127738e-42	2.077524e-7	4.371766e-7	1.229054e-54	4.516086e-39	2.170420e-9	3.640460e-23	2.975810e-1	3.099762e-8	9.889934e-26	3.890478e-10	3.408686e-8	4.576477e-18	9.748295e-9	3.580760e-5	3.613210e-1	4.695553e-6	3.921714e-28	2.084137e-3	1.334835e-2	1.187850e-1	5.773021e-28	1.339320e-3	9.387826e-3	1.639288e-10	2.937779e-3	7.881720e-6	3.026432e-2	1.232862e-2	8.615942e-1	1.174800e-1	4.044261e-3	2.296980e-5	6.614377e-1	2.043808e-7	3.507297e-7	6.202466e-12	1.285801e-1	3.535756e-8	8.106716e-1	8.737329e-17	5.832402e-3	1.000000e+0	3.938457e-6	5.132805e-1	3.756339e-1	1.757474e-8	1.000000e+0	7.507287e-5	5.185760e-1	1.122984e-7	3.574063e-1	3.214285e-17	4.290221e-8	1.525379e-5	3.319541e-1	1.928235e-4	4.034109e-4	5.313154e-27	1.000000e+0	4.643731e-1	3.797486e-12	8.998217e-3	1.000000e+0	1.327644e-14	1.000000e+0	1.000000e+0	2.275965e-16	1.000000e+0	1.175724e-6	1.000000e+0	4.853338e-5	4.428524e-4	
HaibTfbsA549Ctcfsc5916	2.869644e-111	3.589436e-80	1.295103e-179	2.590949e-174	1.599802e-180	9.819714e-112	9.730737e-185	6.844233e-80	1.965238e-84	7.020077e-23	5.247637e-20	3.044863e-80	2.897805e-20	1.149711e-21	2.727008e-23	1.768004e-1	6.347136e-12	1.040714e-13	1.465162e-48	2.265579e-142	1.093051e-120	1.975808e-7	5.371798e-67	8.696666e-27	2.872954e-82	1.085985e-23	3.216480e-19	9.974048e-22	1.877469e-3	3.381278e-13	1.192263e-74	4.163013e-70	6.986283e-27	1.407049e-32	9.274134e-10	6.381766e-2	1.192435e-16	2.447642e-13	2.104815e-9	3.586128e-24	8.036890e-10	4.049845e-1	7.846330e-4	3.170247e-7	6.679381e-8	1.000000e+0	1.000000e+0	2.570142e-12	3.343781e-5	4.668193e-3	2.341476e-4	1.605854e-116	2.323600e-2	1.176275e-36	1.709066e-2	3.529279e-2	6.057808e-11	8.443923e-2	2.207782e-3	6.102260e-1	1.000000e+0	1.268754e-5	1.034444e-13	1.299952e-2	1.000000e+0	5.235357e-13	6.082401e-32	5.672649e-5	1.569524e-10	3.318696e-5	4.107163e-10	8.744815e-4	1.000000e+0	1.857595e-18	1.047579e-2	1.739951e-6	1.000000e+0	7.487256e-3	8.235644e-4	1.000000e+0	1.000000e+0	1.000000e+0	1.000000e+0	1.044374e-3	5.097992e-6	2.236844e-16	1.747933e-1	5.111534e-6	2.749423e-3	2.359227e-1	1.000000e+0	2.035080e-14	9.418476e-4	5.858433e-9	2.772807e-29	1.088721e-8	5.676490e-8	9.803969e-7	1.367642e-2	7.187750e-1	
HaibTfbsA549Elf1	1.497186e-67	8.642060e-56	1.095425e-23	1.688599e-96	5.468743e-24	2.819232e-68	4.565430e-100	2.222539e-56	4.629620e-40	2.447200e-43	6.935603e-41	3.863910e-38	4.288852e-33	1.284172e-32	1.860890e-34	3.003738e-12	4.547929e-26	3.188982e-35	5.960558e-24	1.888293e-12	1.374546e-14	1.172643e-4	1.306402e-31	2.279320e-41	8.877215e-37	3.491762e-43	2.694249e-11	6.628987e-52	8.345360e-13	1.149973e-7	7.821168e-48	5.828696e-37	8.644198e-9	4.436654e-8	1.017370e-4	1.777501e-7	4.663048e-31	1.376978e-4	2.772784e-4	1.741081e-23	7.704560e-5	1.000000e+0	2.248905e-2	1.000000e+0	3.261961e-34	3.171370e-3	2.365410e-12	2.203661e-5	1.630090e-40	2.834182e-2	5.012530e-1	8.369701e-10	1.058796e-3	4.279300e-5	5.255192e-2	1.000000e+0	3.514471e-4	1.000000e+0	5.844894e-2	3.378296e-6	1.000000e+0	4.161265e-5	2.290613e-5	3.469568e-17	1.149708e-12	1.419349e-6	1.000000e+0	4.820523e-28	1.718526e-2	1.000000e+0	9.745936e-3	1.000000e+0	5.189764e-5	8.999045e-5	1.000000e+0	5.270628e-6	1.000000e+0	2.076852e-9	1.000000e+0	7.734993e-5	2.013211e-2	6.021371e-11	3.144235e-1	5.598897e-16	9.338378e-6	1.547834e-23	1.000000e+0	1.000000e+0	1.168573e-22	1.684643e-2	1.000000e+0	2.835445e-14	1.000000e+0	1.614629e-2	2.804751e-13	2.964245e-2	9.199812e-15	1.000000e+0	6.940172e-3	4.070339e-2	
HaibTfbsA549Ets1	9.471594e-61	5.740011e-60	5.474093e-15	2.828064e-81	3.489058e-15	3.747554e-61	2.335033e-83	5.984801e-61	7.744016e-35	1.645824e-44	1.903160e-30	1.231850e-32	8.381441e-35	3.155799e-33	2.572092e-35	1.744446e-13	2.612219e-23	9.901804e-30	1.184719e-22	2.867950e-4	8.493093e-8	1.126919e-4	3.415353e-18	5.621496e-49	8.316273e-41	2.220957e-50	1.657869e-13	5.719889e-60	2.292560e-10	3.470037e-10	1.178260e-53	1.865891e-46	1.633231e-7	4.516954e-13	9.872997e-5	7.064924e-5	8.059515e-51	5.335387e-10	1.145753e-6	1.378776e-41	8.132753e-7	7.325166e-7	2.314235e-5	3.951768e-4	1.490130e-43	1.482546e-3	1.154898e-12	1.990496e-4	7.282155e-55	1.000000e+0	1.720938e-1	3.977371e-3	3.928649e-29	1.000000e+0	2.736782e-2	1.000000e+0	3.220004e-3	3.862697e-1	1.726290e-1	8.964092e-11	3.214385e-6	3.135886e-10	4.078559e-12	6.191434e-30	1.338173e-23	1.651540e-14	1.000000e+0	8.625187e-39	1.000000e+0	1.000000e+0	1.000000e+0	1.000000e+0	2.027462e-3	2.811006e-1	5.519141e-1	1.000000e+0	1.000000e+0	7.601374e-19	1.000000e+0	1.098922e-5	2.724005e-5	5.552106e-10	2.228831e-2	1.965159e-23	1.000000e+0	5.497969e-12	1.000000e+0	1.000000e+0	4.058400e-39	2.098954e-1	1.000000e+0	3.052332e-7	1.000000e+0	1.000000e+0	4.592892e-4	1.000000e+0	3.757996e-29	1.000000e+0	7.509317e-5	1.000000e+0	
HaibTfbsA549Fosl2	1.278623e-184	1.339361e-149	2.433551e-230	5.232624e-280	3.991096e-231	3.987340e-184	3.796940e-286	9.853981e-151	5.446818e-139	1.152436e-86	2.247129e-78	3.287628e-136	3.793835e-66	1.295992e-79	3.678200e-81	1.161087e-8	2.510415e-66	5.066068e-68	2.656072e-121	3.842592e-284	7.986812e-190	1.925262e-37	7.672957e-192	2.042168e-75	8.108142e-184	2.092430e-68	1.151750e-14	2.023887e-66	7.213905e-9	2.974422e-8	2.120188e-179	4.699757e-185	3.632610e-85	1.683186e-29	3.317458e-16	8.442307e-9	2.397977e-71	1.099761e-5	1.659158e-1	2.283442e-83	5.182371e-2	1.009513e-9	3.650569e-7	2.760696e-3	2.492395e-4	1.625174e-8	1.055726e-5	1.217744e-4	1.410184e-22	2.090582e-3	6.888183e-7	1.271782e-231	7.513696e-4	1.022628e-114	1.000000e+0	1.000000e+0	1.258341e-6	1.000000e+0	1.322653e-4	1.000000e+0	9.020550e-1	1.000000e+0	1.920791e-35	2.057974e-2	1.257874e-3	1.910999e-35	2.236261e-27	NA	5.996721e-10	4.284843e-13	6.424982e-28	2.721169e-5	7.073112e-7	9.243989e-51	1.106681e-1	1.274790e-13	2.576349e-2	1.226154e-3	4.068649e-5	3.259909e-3	1.000000e+0	NA	1.960680e-5	5.386424e-2	1.647383e-11	3.410402e-55	1.836186e-1	4.021388e-8	NA	1.000000e+0	1.000000e+0	3.497479e-48	8.478034e-5	1.080203e-2	2.188927e-77	2.637408e-22	1.251072e-42	1.008930e-5	1.000000e+0	4.498062e-7	
HaibTfbsA549Foxa1	4.994336e-67	9.715168e-58	2.274013e-72	4.799339e-96	7.917659e-73	1.019148e-66	6.668920e-103	3.027705e-58	4.477525e-41	8.088468e-43	9.765359e-27	1.035017e-39	5.685221e-25	3.886455e-28	1.198147e-28	1.830849e-1	1.042474e-20	8.574224e-27	2.743904e-18	2.190815e-79	2.245362e-48	1.486250e-12	3.380849e-59	4.731805e-35	4.168042e-75	1.220324e-32	8.108106e-3	5.550449e-28	8.361264e-4	5.996294e-1	9.578804e-76	6.471414e-62	1.066543e-25	3.180225e-12	3.166153e-2	1.000000e+0	4.790167e-32	1.000000e+0	1.000000e+0	4.359730e-25	1.000000e+0	4.402701e-9	1.240398e-1	1.000000e+0	NA	1.000000e+0	1.000000e+0	1.000000e+0	1.931677e-16	1.000000e+0	2.712545e-2	2.218253e-70	1.000000e+0	1.533222e-21	1.000000e+0	1.416074e-2	1.000000e+0	1.000000e+0	6.050995e-4	NA	1.000000e+0	1.000000e+0	1.847408e-25	1.000000e+0	7.859738e-5	1.758521e-24	2.782197e-8	6.909691e-17	4.093178e-1	1.012433e-6	NA	3.439645e-2	1.000000e+0	1.427502e-15	1.000000e+0	1.000000e+0	1.000000e+0	1.000000e+0	5.478122e-3	NA	1.400563e-1	NA	1.000000e+0	NA	1.000000e+0	2.094682e-15	NA	NA	5.527736e-12	1.000000e+0	NA	6.970711e-10	1.000000e+0	1.000000e+0	3.809352e-21	1.000000e+0	4.919951e-8	NA	1.000000e+0	1.000000e+0	
HaibTfbsA549Gabp	7.012682e-89	3.537714e-76	8.268495e-50	1.281275e-134	2.565470e-50	6.813244e-90	2.836528e-137	9.761715e-77	1.480989e-53	3.319950e-55	3.078774e-54	1.013777e-51	3.114627e-46	1.895691e-46	7.693977e-49	1.059500e-14	1.722450e-34	7.666675e-47	4.258176e-40	1.033130e-23	1.162293e-29	3.369114e-11	1.215668e-41	2.961342e-48	1.202177e-55	1.421962e-49	1.098061e-14	1.474274e-59	2.308035e-20	7.023966e-10	4.350876e-64	8.040140e-57	5.100441e-17	4.398535e-15	1.410228e-6	3.660670e-7	3.800205e-45	5.650709e-9	1.667287e-5	5.566137e-41	3.379479e-6	1.115249e-2	1.617396e-5	7.342662e-4	1.254056e-49	1.144571e-8	2.311951e-18	2.538951e-1	6.780628e-45	1.000000e+0	7.449309e-1	1.782385e-19	1.063675e-3	3.471233e-12	3.230334e-3	1.000000e+0	1.000000e+0	9.849774e-1	6.761232e-2	2.467458e-7	8.193647e-3	8.286984e-9	2.292553e-9	6.627406e-28	1.451679e-15	2.494342e-11	2.383260e-2	3.128251e-33	1.000000e+0	1.000000e+0	4.935433e-4	1.000000e+0	6.387268e-9	1.011319e-4	1.979087e-1	5.020702e-4	1.000000e+0	3.314734e-21	1.000000e+0	1.112906e-7	3.260619e-3	5.213572e-10	2.403543e-3	2.684775e-20	3.993797e-4	4.083227e-31	1.000000e+0	1.000000e+0	2.009686e-32	1.000000e+0	1.000000e+0	2.642728e-14	1.000000e+0	1.000000e+0	2.707459e-18	3.967209e-4	3.333423e-19	1.000000e+0	4.541302e-4	3.426396e-2	
HaibTfbsA549Gr	1.280773e-5	5.229338e-3	4.168926e-11	3.722004e-10	3.570316e-11	7.465099e-6	1.743696e-10	5.741675e-3	2.165433e-3	2.891972e-2	6.297340e-2	6.361190e-3	3.686201e-1	4.558610e-2	4.079082e-2	1.000000e+0	3.498423e-3	2.088042e-1	7.276805e-3	3.484206e-5	2.036388e-1	1.000000e+0	9.650194e-7	4.729941e-5	5.694982e-6	4.963185e-5	1.000000e+0	1.172890e-3	1.000000e+0	1.000000e+0	2.037354e-6	1.415127e-4	2.073143e-2	1.000000e+0	1.000000e+0	1.000000e+0	1.000000e+0	1.000000e+0	1.000000e+0	1.000000e+0	1.000000e+0	4.008126e-1	1.000000e+0	1.000000e+0	1.000000e+0	1.178368e-1	1.000000e+0	9.350290e-1	4.041271e-1	1.000000e+0	1.000000e+0	2.425361e-7	8.308888e-6	1.000000e+0	1.000000e+0	1.000000e+0	1.000000e+0	1.000000e+0	1.000000e+0	1.000000e+0	1.000000e+0	1.000000e+0	1.000000e+0	9.117171e-5	1.000000e+0	1.000000e+0	1.000000e+0	1.801260e-1	1.000000e+0	1.000000e+0	NA	1.000000e+0	5.399325e-8	2.862523e-2	1.000000e+0	1.000000e+0	NA	3.522143e-8	1.000000e+0	1.000000e+0	1.000000e+0	1.000000e+0	NA	1.000000e+0	1.000000e+0	5.512991e-2	NA	NA	1.000000e+0	1.000000e+0	1.000000e+0	NA	1.000000e+0	1.000000e+0	2.032691e-4	NA	1.831569e-4	NA	1.000000e+0	1.000000e+0	
