	GO:0043226	GO:0043231	GO:0005623	GO:0044424	GO:0044464	GO:0043229	GO:0005622	GO:0043227	GO:0044446	GO:0005634	GO:0044428	GO:0044422	GO:0070013	GO:0043233	GO:0031974	GO:0016604	GO:0005654	GO:0031981	GO:0032991	GO:0005737	GO:0044444	GO:0044451	GO:0005829	GO:0006807	GO:0008152	GO:0034641	GO:0031967	GO:0006139	GO:0005730	GO:0031975	GO:0044237	GO:0044238	GO:0043232	GO:0005739	GO:0005635	GO:0016607	GO:0044260	GO:0044429	GO:0031966	GO:0043170	GO:0005740	GO:0000785	GO:0031965	GO:0005759	GO:0030529	GO:0005793	GO:0044445	GO:0005774	GO:0090304	GO:0042470	GO:0005741	GO:0005488	GO:0000786	GO:0043234	GO:0005758	GO:0005813	GO:0044437	GO:0031970	GO:0005815	GO:0044455	GO:0016605	GO:0019866	GO:0009058	GO:0005840	GO:0003676	GO:0044249	GO:0031090	GO:0016070	GO:0044448	GO:0015630	GO:0003924	GO:0031968	GO:0033116	GO:0005625	GO:0030496	GO:0032155	GO:0030120	GO:0015934	GO:0019867	GO:0051082	GO:0005694	GO:0071013	GO:0005637	GO:0022626	GO:0032154	GO:0046907	GO:0035770	GO:0030176	GO:0010467	GO:0035097	GO:0016234	GO:0006996	GO:0031301	GO:0005770	GO:0051649	GO:0017111	GO:0043933	GO:0031227	GO:0071339	GO:0005652
HaibTfbsA549Atf3	1.639028e-7	1.949244e-6	3.349616e-4	6.225410e-16	3.122898e-4	1.841979e-7	4.729681e-16	1.877948e-6	2.377181e-6	2.389180e-4	3.126625e-6	1.860632e-6	6.151372e-5	4.319024e-5	7.702462e-5	1.000000e+0	3.344383e-5	5.251356e-6	1.648376e-5	1.226583e-19	3.158613e-9	1.379708e-5	5.818731e-11	2.104755e-2	7.474998e-9	1.083757e-1	1.000000e+0	5.573735e-2	1.000000e+0	1.000000e+0	5.479004e-13	5.545506e-7	4.060317e-4	1.000000e+0	1.000000e+0	1.000000e+0	1.194879e-8	1.000000e+0	1.000000e+0	2.323791e-5	1.000000e+0	1.000000e+0	1.000000e+0	1.000000e+0	1.000000e+0	1.000000e+0	1.000000e+0	1.000000e+0	1.000000e+0	1.000000e+0	1.000000e+0	5.611126e-15	1.000000e+0	1.354784e-5	1.000000e+0	1.000000e+0	1.000000e+0	1.000000e+0	1.000000e+0	1.000000e+0	1.000000e+0	1.000000e+0	1.737093e-2	1.000000e+0	1.000000e+0	1.205462e-2	1.000000e+0	2.543827e-1	1.000000e+0	1.000000e+0	1.000000e+0	1.000000e+0	1.000000e+0	1.000000e+0	1.000000e+0	1.000000e+0	1.000000e+0	1.000000e+0	1.000000e+0	1.000000e+0	1.000000e+0	1.000000e+0	1.000000e+0	1.000000e+0	1.000000e+0	1.000000e+0	1.000000e+0	1.000000e+0	1.746398e-1	1.000000e+0	1.000000e+0	1.581183e-4	NA	1.000000e+0	7.534440e-2	1.000000e+0	1.000000e+0	1.000000e+0	1.000000e+0	1.000000e+0	
HaibTfbsA549Bcl3	4.011431e-17	9.203931e-17	2.112886e-7	9.398351e-27	1.926191e-7	3.025915e-17	4.169220e-28	9.529111e-17	1.084045e-15	1.474499e-9	1.065428e-13	1.729500e-15	2.396527e-11	6.424611e-12	1.048785e-12	1.000000e+0	2.976780e-7	1.490407e-11	6.056243e-10	1.425329e-31	2.971476e-18	8.733384e-3	2.494442e-14	1.913620e-8	2.611996e-15	1.374557e-7	1.000000e+0	4.137496e-8	3.331083e-3	1.000000e+0	4.439478e-20	1.210502e-13	1.625385e-10	9.547784e-1	1.000000e+0	1.000000e+0	3.325046e-14	1.000000e+0	1.000000e+0	1.025889e-10	1.000000e+0	1.000000e+0	1.000000e+0	1.000000e+0	9.513273e-6	1.000000e+0	1.000000e+0	1.000000e+0	2.632582e-4	1.000000e+0	1.000000e+0	1.210732e-17	1.000000e+0	7.246799e-5	1.000000e+0	1.000000e+0	1.000000e+0	1.000000e+0	1.000000e+0	1.000000e+0	1.000000e+0	1.000000e+0	1.303033e-8	5.701313e-3	1.000000e+0	2.271422e-8	4.690628e-2	8.926005e-4	1.000000e+0	1.000000e+0	1.000000e+0	NA	1.000000e+0	1.000000e+0	5.562938e-1	1.000000e+0	1.000000e+0	1.664308e-1	NA	1.000000e+0	6.041788e-1	1.000000e+0	1.000000e+0	2.099492e-1	1.000000e+0	2.408514e-1	1.000000e+0	1.000000e+0	1.579552e-4	1.000000e+0	1.000000e+0	1.415104e-8	1.000000e+0	1.000000e+0	4.372461e-2	1.000000e+0	6.947170e-6	1.000000e+0	1.000000e+0	1.000000e+0	
HaibTfbsA549Creb1sc240	2.372439e-146	8.888088e-166	2.635460e-28	3.340110e-172	1.918495e-28	7.799119e-148	4.621373e-173	2.264004e-166	5.534557e-101	1.672678e-95	5.878091e-77	2.054922e-96	3.258388e-82	1.474031e-79	2.966768e-82	4.491594e-14	5.458737e-54	4.258567e-68	4.400781e-32	1.755331e-116	1.144132e-98	2.131934e-29	2.626840e-39	1.963504e-57	6.594406e-86	4.644472e-60	1.163220e-15	7.440492e-65	7.310389e-17	1.998805e-15	2.513434e-110	2.428318e-75	3.083348e-18	2.901988e-43	3.484807e-4	4.851448e-10	9.991868e-96	2.147359e-19	1.018946e-9	4.214158e-71	2.878072e-10	1.000000e+0	6.500308e-4	6.370163e-10	1.375676e-20	3.181947e-3	1.000000e+0	2.924859e-1	1.075345e-58	6.862471e-4	8.584476e-2	3.223483e-56	1.000000e+0	2.533701e-22	1.000000e+0	1.267530e-15	1.000000e+0	8.231973e-1	1.695058e-18	1.408020e-3	2.108072e-2	1.347840e-4	4.613272e-45	6.695882e-4	1.548756e-28	1.624165e-45	1.473095e-29	2.104158e-48	1.000000e+0	7.454332e-21	1.000000e+0	3.562062e-2	1.000000e+0	1.000000e+0	3.005075e-3	1.000000e+0	2.023220e-1	1.000000e+0	3.271726e-2	9.341054e-8	4.982516e-9	6.251911e-7	1.000000e+0	1.000000e+0	1.000000e+0	1.049114e-25	1.000000e+0	1.000000e+0	7.035355e-47	3.539907e-4	1.000000e+0	1.803800e-32	4.776571e-4	6.377327e-1	2.004455e-19	1.631272e-6	6.525909e-5	1.000000e+0	7.597668e-2	1.000000e+0	
HaibTfbsA549Ctcfsc5916	1.000000e+0	1.000000e+0	1.000000e+0	1.000000e+0	1.000000e+0	1.000000e+0	1.000000e+0	1.000000e+0	1.000000e+0	1.000000e+0	1.000000e+0	1.000000e+0	1.000000e+0	1.000000e+0	1.000000e+0	1.000000e+0	1.000000e+0	1.000000e+0	1.000000e+0	7.383516e-22	1.638375e-11	1.000000e+0	6.261021e-2	1.000000e+0	1.000000e+0	1.000000e+0	1.000000e+0	1.000000e+0	1.000000e+0	1.000000e+0	1.000000e+0	1.000000e+0	1.000000e+0	1.000000e+0	1.000000e+0	1.000000e+0	1.000000e+0	1.000000e+0	1.000000e+0	1.000000e+0	1.000000e+0	1.000000e+0	1.000000e+0	1.000000e+0	1.000000e+0	1.000000e+0	1.000000e+0	1.000000e+0	1.000000e+0	1.000000e+0	1.000000e+0	4.292824e-13	1.000000e+0	1.000000e+0	1.000000e+0	1.000000e+0	1.000000e+0	1.000000e+0	1.000000e+0	1.000000e+0	1.000000e+0	1.000000e+0	1.000000e+0	1.000000e+0	1.000000e+0	1.000000e+0	3.489424e-3	1.000000e+0	1.000000e+0	5.602062e-3	1.000000e+0	1.000000e+0	1.000000e+0	1.000000e+0	1.000000e+0	1.000000e+0	1.000000e+0	1.000000e+0	1.000000e+0	1.000000e+0	1.000000e+0	1.000000e+0	1.000000e+0	1.000000e+0	1.000000e+0	1.000000e+0	1.000000e+0	1.000000e+0	1.000000e+0	1.000000e+0	1.000000e+0	1.000000e+0	1.000000e+0	1.000000e+0	5.134595e-2	1.000000e+0	1.000000e+0	1.000000e+0	1.000000e+0	1.000000e+0	
HaibTfbsA549Elf1	1.023798e-77	2.653706e-82	8.469183e-12	1.920567e-91	7.303239e-12	3.360386e-77	8.182408e-92	1.045881e-82	4.830234e-51	3.357074e-61	6.999111e-46	7.405763e-51	1.720546e-46	1.343689e-45	3.070306e-47	1.794355e-10	1.059394e-30	1.127214e-42	1.515215e-23	2.692289e-43	4.970047e-34	1.000731e-16	7.952634e-19	5.040863e-46	3.921000e-51	1.564487e-47	4.379674e-4	2.786080e-56	5.528244e-18	1.043775e-3	8.256994e-69	6.944177e-47	2.281091e-13	8.986238e-12	9.420453e-1	8.649825e-6	6.666065e-70	1.241348e-5	3.906718e-2	1.157099e-53	5.276741e-2	1.000000e+0	1.000000e+0	6.557016e-3	3.655330e-19	1.000000e+0	1.233095e-5	1.000000e+0	5.763357e-54	1.000000e+0	1.000000e+0	1.756321e-27	1.000000e+0	1.572678e-13	1.000000e+0	8.374476e-3	1.000000e+0	1.000000e+0	1.016605e-4	1.073835e-1	5.699135e-2	1.302843e-1	5.175485e-27	4.864402e-7	7.639510e-31	1.402857e-28	6.842700e-6	9.683297e-53	8.858656e-1	2.397843e-5	1.000000e+0	1.000000e+0	1.000000e+0	1.000000e+0	1.038787e-2	8.154036e-1	1.000000e+0	1.512227e-3	1.000000e+0	1.000000e+0	2.755438e-1	9.592527e-8	1.000000e+0	2.374283e-5	1.000000e+0	6.936651e-16	1.000000e+0	1.000000e+0	5.669152e-51	1.000000e+0	1.000000e+0	9.535656e-19	1.000000e+0	1.073835e-1	6.632903e-10	3.542203e-3	3.608879e-3	1.000000e+0	1.000000e+0	1.000000e+0	
HaibTfbsA549Ets1	9.803556e-78	2.114649e-86	2.221497e-10	8.075763e-87	2.004934e-10	1.256533e-77	5.720265e-88	2.780644e-87	1.480276e-49	1.635479e-65	4.236038e-45	2.093144e-48	9.812998e-50	2.187286e-47	6.725452e-50	9.259045e-8	1.152628e-29	3.857652e-40	4.929029e-30	1.293588e-33	1.814787e-32	8.521791e-14	1.081607e-20	8.837527e-51	2.565603e-51	4.381125e-51	9.293111e-8	2.971266e-60	9.778139e-16	1.053854e-7	1.857450e-71	8.572055e-50	5.919617e-14	5.500287e-21	3.615153e-2	2.201107e-7	1.833145e-84	5.047639e-11	1.095057e-3	1.068427e-64	6.658046e-4	1.000000e+0	7.612301e-1	2.203204e-7	1.486772e-36	1.000000e+0	5.761457e-9	1.000000e+0	2.151594e-64	1.000000e+0	6.291716e-1	2.415061e-21	1.000000e+0	3.009463e-10	1.000000e+0	1.000000e+0	1.000000e+0	6.935642e-1	2.498916e-2	5.048983e-4	1.000000e+0	1.278324e-3	2.541924e-31	3.828647e-21	8.527518e-39	4.588350e-34	4.797971e-4	1.058997e-60	1.000000e+0	3.665504e-3	1.000000e+0	1.000000e+0	1.000000e+0	1.000000e+0	1.000000e+0	1.000000e+0	1.000000e+0	1.342935e-8	1.000000e+0	1.000000e+0	1.101868e-1	1.044847e-9	1.000000e+0	1.339793e-11	1.000000e+0	5.644244e-12	1.000000e+0	1.000000e+0	3.725067e-65	6.285774e-2	1.000000e+0	9.602415e-11	1.000000e+0	1.000000e+0	1.391425e-5	1.000000e+0	1.587162e-9	1.000000e+0	8.229435e-3	1.000000e+0	
HaibTfbsA549Fosl2	7.169298e-4	3.875930e-4	3.384379e-4	1.152050e-14	3.722800e-4	1.175489e-3	9.005718e-14	4.654041e-4	1.719505e-3	1.000000e+0	9.966169e-2	9.174815e-4	7.066875e-1	2.006675e-1	2.671888e-1	1.000000e+0	3.949727e-1	2.461360e-1	1.000000e+0	6.032464e-40	9.840437e-22	4.415154e-1	9.592228e-12	1.000000e+0	1.076987e-1	1.000000e+0	1.000000e+0	1.000000e+0	1.000000e+0	1.000000e+0	3.787950e-2	1.000000e+0	6.371086e-1	1.000000e+0	6.747567e-1	1.000000e+0	1.000000e+0	1.000000e+0	1.000000e+0	1.000000e+0	1.000000e+0	1.000000e+0	1.000000e+0	1.000000e+0	1.000000e+0	1.943604e-1	1.000000e+0	1.000000e+0	1.000000e+0	1.000000e+0	1.000000e+0	1.980654e-18	1.000000e+0	4.006028e-3	1.000000e+0	1.000000e+0	1.000000e+0	1.000000e+0	1.000000e+0	1.000000e+0	1.000000e+0	1.000000e+0	1.000000e+0	1.000000e+0	1.000000e+0	1.000000e+0	7.666074e-3	NA	1.000000e+0	4.067343e-2	1.000000e+0	1.000000e+0	1.000000e+0	1.000000e+0	1.000000e+0	1.000000e+0	1.000000e+0	1.000000e+0	1.000000e+0	1.000000e+0	1.000000e+0	NA	1.000000e+0	1.000000e+0	1.000000e+0	2.966837e-1	1.000000e+0	1.000000e+0	NA	1.000000e+0	1.000000e+0	4.027225e-3	1.000000e+0	1.000000e+0	1.056947e-3	1.000000e+0	1.000000e+0	1.000000e+0	1.000000e+0	1.000000e+0	
HaibTfbsA549Foxa1	1.000000e+0	1.000000e+0	1.657538e-2	5.975385e-5	1.551441e-2	1.000000e+0	1.802485e-5	1.000000e+0	1.000000e+0	1.000000e+0	1.000000e+0	1.000000e+0	1.000000e+0	1.000000e+0	1.000000e+0	1.000000e+0	1.000000e+0	1.000000e+0	1.000000e+0	4.578840e-17	2.777777e-7	1.000000e+0	6.317257e-3	1.000000e+0	1.000000e+0	1.000000e+0	1.000000e+0	1.000000e+0	1.000000e+0	1.000000e+0	1.392154e-1	1.000000e+0	1.000000e+0	1.000000e+0	1.000000e+0	1.000000e+0	1.000000e+0	1.000000e+0	1.000000e+0	1.000000e+0	1.000000e+0	1.000000e+0	1.000000e+0	1.000000e+0	NA	1.000000e+0	1.000000e+0	1.000000e+0	1.000000e+0	1.000000e+0	1.000000e+0	2.220428e-9	1.000000e+0	1.000000e+0	1.000000e+0	1.000000e+0	1.000000e+0	1.000000e+0	1.000000e+0	NA	1.000000e+0	1.000000e+0	1.000000e+0	1.000000e+0	1.000000e+0	1.000000e+0	1.783302e-1	1.000000e+0	1.000000e+0	1.000000e+0	NA	1.000000e+0	1.000000e+0	1.000000e+0	1.000000e+0	1.000000e+0	1.000000e+0	1.000000e+0	1.000000e+0	NA	1.000000e+0	NA	1.000000e+0	NA	1.000000e+0	1.000000e+0	NA	NA	1.000000e+0	1.000000e+0	NA	1.000000e+0	1.000000e+0	1.000000e+0	1.000000e+0	1.000000e+0	1.000000e+0	NA	1.000000e+0	1.000000e+0	
HaibTfbsA549Gabp	5.561035e-82	1.058854e-90	8.522309e-19	1.807003e-107	6.909591e-19	8.887709e-82	6.720258e-108	1.214227e-90	3.251761e-57	1.657978e-63	3.149272e-50	1.357882e-55	1.286359e-51	1.947274e-51	9.915167e-53	8.333344e-8	1.417131e-33	5.224238e-46	2.480452e-31	2.394259e-58	2.143533e-47	3.505155e-23	1.062422e-23	8.261348e-44	1.320864e-54	9.307450e-46	1.101052e-5	4.466206e-53	2.593717e-17	1.407686e-5	1.872019e-73	2.896243e-54	1.383406e-14	8.211800e-16	8.995428e-2	1.421416e-1	4.636623e-75	4.883570e-6	5.801930e-2	6.041839e-58	3.005031e-2	1.000000e+0	7.845795e-1	7.797152e-3	2.727326e-22	2.155176e-3	5.500676e-10	1.000000e+0	2.868153e-49	1.000000e+0	1.000000e+0	8.911906e-38	1.000000e+0	4.403779e-19	1.000000e+0	6.288526e-2	1.000000e+0	1.000000e+0	1.626950e-3	1.000000e+0	4.150831e-2	5.450512e-1	4.315644e-34	1.271407e-8	1.835349e-29	7.886063e-36	1.491386e-10	1.453437e-47	1.000000e+0	3.480744e-5	1.000000e+0	1.000000e+0	1.000000e+0	1.000000e+0	1.027274e-1	1.000000e+0	1.000000e+0	1.666987e-4	1.000000e+0	7.448602e-1	1.000000e+0	3.766105e-6	1.000000e+0	4.718415e-5	1.000000e+0	8.172383e-19	1.000000e+0	1.000000e+0	1.116061e-50	6.998716e-2	1.000000e+0	6.142620e-15	1.000000e+0	1.000000e+0	1.969411e-11	8.815548e-4	7.514906e-5	1.000000e+0	4.113308e-2	1.000000e+0	
HaibTfbsA549Gr	1.000000e+0	1.000000e+0	1.000000e+0	1.000000e+0	1.000000e+0	1.000000e+0	1.000000e+0	1.000000e+0	1.000000e+0	1.000000e+0	1.000000e+0	1.000000e+0	1.000000e+0	1.000000e+0	1.000000e+0	1.000000e+0	1.000000e+0	1.000000e+0	1.000000e+0	4.161952e-4	1.000000e+0	1.000000e+0	1.000000e+0	1.000000e+0	1.000000e+0	1.000000e+0	1.000000e+0	1.000000e+0	1.000000e+0	1.000000e+0	1.000000e+0	1.000000e+0	1.000000e+0	1.000000e+0	1.000000e+0	1.000000e+0	1.000000e+0	1.000000e+0	1.000000e+0	1.000000e+0	1.000000e+0	1.000000e+0	1.000000e+0	1.000000e+0	1.000000e+0	1.000000e+0	1.000000e+0	1.000000e+0	1.000000e+0	1.000000e+0	1.000000e+0	4.489779e-1	1.000000e+0	1.000000e+0	1.000000e+0	1.000000e+0	1.000000e+0	1.000000e+0	1.000000e+0	1.000000e+0	1.000000e+0	1.000000e+0	1.000000e+0	1.000000e+0	1.000000e+0	1.000000e+0	1.000000e+0	1.000000e+0	1.000000e+0	1.000000e+0	NA	1.000000e+0	1.000000e+0	1.000000e+0	1.000000e+0	1.000000e+0	NA	1.000000e+0	1.000000e+0	1.000000e+0	1.000000e+0	1.000000e+0	NA	1.000000e+0	1.000000e+0	1.000000e+0	NA	NA	1.000000e+0	1.000000e+0	1.000000e+0	NA	1.000000e+0	1.000000e+0	1.000000e+0	NA	1.000000e+0	NA	1.000000e+0	1.000000e+0	
