# Argument List:
# Name = hot15
# peak file = hot15.bed
# gene pos to peak = up,down
# distance = 2000 bp
# genome = ../../../bin/peak2gene/hg19.refGene
# Output symbol as gene name = True
#chrom	pStart	pEnd	pName	pScore	NA	gene	strand	TSS2pCenter
chr1	100598286	100599034	15	0	0	CCDC76|SASS6	+|-	45|149
chr1	10447512	10449088	22	0	0			
chr1	10532262	10532958	15	0	0	DFFA|DFFA	-|-	-3|-3
chr1	109288842	109290309	16	0	0	STXBP3	+	-291
chr1	110502443	110503497	19	0	0			
chr1	110880242	110882590	23	0	0	RBM15|LOC440600	+|-	528|-377
chr1	113161446	113163212	15	0	0	CAPZA1|ST7L|ST7L|ST7L|ST7L	+|-|-|-|-	-255|289|289|289|289
chr1	114447190	114448254	15	0	0	AP4B1|DCLRE1B	-|+	-19|192
chr1	11865467	11866623	15	0	0	CLCN6|MTHFR|CLCN6|CLCN6|CLCN6	+|-|+|+|+	161|-115|161|161|161
chr1	11967678	11968871	17	0	0			
chr1	12655720	12657421	22	0	0			
chr1	12677705	12679430	20	0	0	DHRS3	-	747
chr1	1310292	1311167	18	0	0	AURKAIP1|AURKAIP1|AURKAIP1	-|-|-	149|167|-89
chr1	144931875	144932930	15	0	0	PDE4DIP	-	370
chr1	145382068	145383183	17	0	0			
chr1	145398955	145400074	21	0	0			
chr1	145507104	145508109	15	0	0	RBM8A	+	31
chr1	145542468	145543258	22	0	0			
chr1	146713859	146715019	15	0	0	CHD1L	+	-149
chr1	147735286	147736206	19	0	0			
chr1	147736935	147737735	20	0	0			
chr1	147806426	147807415	15	0	0			
chr1	148241271	148241905	15	0	0			
chr1	149294426	149294954	16	0	0			
chr1	149856666	149860445	39	0	0	HIST2H2AC|HIST2H2BE|HIST2H2AB	+|-|-	-31|323|-911
chr1	149982366	149983074	17	0	0	OTUD7B	-	34
chr1	150039078	150040051	19	0	0	VPS45	+	-223
chr1	150207983	150209674	15	0	0	ANP32E|ANP32E|ANP32E	-|-|-	324|1802|324
chr1	150459489	150460212	20	0	0	TARS2	+	69
chr1	150533157	150535236	26	0	0			
chr1	150550839	150552610	15	0	0	MCL1|MCL1	-|-	-412|-412
chr1	150898431	150899267	22	0	0	SETDB1|SETDB1|SETDB1	+|+|+	-35|-35|-25
chr1	151042730	151043981	28	0	0	GABPB2	+	-276
chr1	151138186	151139059	23	0	0	LYSMD1|SCNM1|LYSMD1	-|+|-	198|-106|252
chr1	151162430	151163077	15	0	0	VPS72	-	113
chr1	151253412	151255429	24	0	0	ZNF687	+	370
chr1	151371657	151372397	20	0	0	PSMB4	+	13
chr1	151519420	151520239	20	0	0	MIR554	+	-1558
chr1	151568860	151569484	15	0	0			
chr1	151583695	151584978	15	0	0	SNX27	+	325
chr1	151881797	151882611	21	0	0	THEM4	-	91
chr1	151960799	151963724	29	0	0			
chr1	151964704	151965558	22	0	0	S100A10	-	-1583
chr1	152020084	152021480	30	0	0			
chr1	153505530	153506855	18	0	0			
chr1	153508275	153509514	15	0	0	S100A6	-	177
chr1	153517445	153518546	19	0	0	S100A4|S100A4	-|-	-287|-287
chr1	153538906	153539615	18	0	0	S100A2	-	954
chr1	153539964	153541550	19	0	0			
chr1	153581183	153582250	16	0	0			
chr1	153605893	153607173	17	0	0	S100A13|C1orf77	-|+	-35|-9
chr1	153643171	153644095	25	0	0	ILF2	-	154
chr1	153894929	153896160	17	0	0	GATAD2B	-	93
chr1	153930707	153931612	15	0	0	CRTC2	-	116
chr1	153939374	153940613	15	0	0	SLC39A1|CREB3L4	-|+	-195|403
chr1	154192698	154193835	16	0	0	C1orf43|UBAP2L|UBAP2L|C1orf43|C1orf43	-|+|+|-|-	-7|-612|58|-7|-7
chr1	154244569	154245380	15	0	0	HAX1|HAX1	+|+	64|64
chr1	154390525	154391338	17	0	0			
chr1	154530945	154532447	22	0	0	UBE2Q1	-	576
chr1	154908757	154910409	22	0	0	PMVK	-	99
chr1	154942420	154944282	16	0	0	SHC1|SHC1	-|-	128|128
chr1	154944814	154948294	41	0	0	SHC1|CKS1B|SHC1|CKS1B|MIR4258	-|+|-|+|+	-405|563|-405|563|1614
chr1	154955353	154956128	16	0	0	FLAD1|FLAD1|FLAD1|FLAD1	+|+|+|+	29|29|29|29
chr1	154972099	154974924	33	0	0	ZBTB7B	+	1600
chr1	154989520	154990479	19	0	0			
chr1	155057084	155058947	15	0	0			
chr1	155099446	155100644	16	0	0	EFNA1|EFNA1	+|+	303|303
chr1	155145324	155146521	18	0	0	TRIM46|KRTCAP2	+|-	437|118
chr1	155162945	155164847	23	0	0	MUC1|MUC1|MUC1|MUC1|MUC1|MUC1|MUC1|MIR92B	-|-|-|-|-|-|-|+	1196|1196|1196|1196|1196|1196|1196|1071
chr1	155210798	155211361	15	0	0	GBA|GBA	-|-	10|13
chr1	155214041	155214990	22	0	0	GBA|GBA|GBA	-|-|-	-138|-138|-138
chr1	155231591	155232513	17	0	0	SCAMP3|SCAMP3	-|-	-143|-143
chr1	155278179	155278995	16	0	0	FDPS|FDPS|FDPS	+|+|+	117|-49|-49
chr1	155292647	155294494	20	0	0	C1orf104|RUSC1|RUSC1	-|+|+	-368|157|647
chr1	155903621	155904775	19	0	0	KIAA0907	-	10
chr1	156083755	156085359	22	0	0	LMNA|LMNA|LMNA	+|+|+	-97|-97|-97
chr1	156095645	156097350	20	0	0			
chr1	156099771	156100534	16	0	0			
chr1	156163187	156164592	23	0	0	SLC25A44	+	-160
chr1	156251757	156253067	19	0	0	SMG5|TMEM79|TMEM79	-|+|+	-208|1657|291
chr1	156307724	156309292	16	0	0	CCT3|CCT3|C1orf182|CCT3|CCT3	-|-|+|-|-	302|302|-1404|302|302
chr1	156426130	156427913	23	0	0			
chr1	156570922	156571562	15	0	0	GPATCH4|GPATCH4	-|-	-28|-28
chr1	156629689	156630639	25	0	0			
chr1	156697702	156699235	15	0	0	C1orf66|C1orf66|ISG20L2	+|+|-	-206|-206|763
chr1	156710663	156711449	21	0	0	MRPL24|MRPL24	-|-	133|133
chr1	156716083	156717384	19	0	0			
chr1	156736771	156737813	18	0	0	PRCC	+	-19
chr1	159894184	159895970	22	0	0	TAGLN2	-	-207
chr1	160094372	160095032	15	0	0			
chr1	160231276	160232696	16	0	0	DCAF8|DCAF8|DCAF8|DCAF8|DCAF8	-|-|-|-|-	-364|-332|-332|-332|-291
chr1	161015472	161016312	17	0	0	USF1|USF1	-|-	135|135
chr1	161102065	161103251	19	0	0	DEDD|DEDD|DEDD	-|-|-	180|402|180
chr1	161123469	161124245	18	0	0	UFC1	+	-324
chr1	161135357	161136547	17	0	0	PPOX|PPOX	+|+	228|228
chr1	161171801	161172749	15	0	0	NDUFS2	+	-339
chr1	16125381	16127879	37	0	0			
chr1	161283773	161284939	16	0	0	SDHC|SDHC|SDHC|SDHC	+|+|+|+	-191|-191|-191|-191
chr1	161368832	161370075	22	0	0			
chr1	161397588	161398216	16	0	0			
chr1	161509786	161510458	15	0	0			
chr1	161719235	161720272	15	0	0	DUSP12	+	-173
chr1	161735676	161736571	24	0	0	ATF6	+	-40
chr1	163291280	163292088	23	0	0	NUF2|NUF2	+|+	38|38
chr1	164717261	164718299	26	0	0			
chr1	165737802	165738606	17	0	0	TMCO1	-	69
chr1	165796563	165798577	21	0	0	UCK2	+	-681
chr1	167683453	167685102	36	0	0			
chr1	167904981	167906432	19	0	0	DCAF6|BRP44|BRP44|DCAF6|BRP44	+|-|-|+|-	201|-572|473|201|326
chr1	168147738	168148574	16	0	0	TIPRL|TIPRL	+|+	14|14
chr1	169077881	169079955	24	0	0			
chr1	169336775	169337724	18	0	0	BLZF1|NME7|NME7	+|-|-	-56|63|63
chr1	16970910	16972397	18	0	0	MST1P2	+	415
chr1	169763739	169764475	16	0	0	C1orf112|C1orf156	+|-	442|76
chr1	169862621	169863809	23	0	0	SCYL3|SCYL3	-|-	139|139
chr1	170500819	170501583	15	0	0	GORAB|GORAB|GORAB	+|+|+	61|61|61
chr1	171710969	171711725	15	0	0	VAMP4|VAMP4|VAMP4	-|-|-	-32|-32|-32
chr1	172291283	172292159	17	0	0			
chr1	172327833	172328585	18	0	0			
chr1	172501246	172502738	15	0	0	C1orf9|C1orf9	+|+	267|324
chr1	172715403	172716033	15	0	0			
chr1	172902944	172903705	18	0	0			
chr1	173683764	173684522	21	0	0	KLHL20	+	-64
chr1	173792918	173794617	22	0	0	CENPL|CENPL|DARS2|CENPL	-|-|+|-	-10|497|29|-10
chr1	173835856	173838001	22	0	0	ZBTB37|ZBTB37|GAS5|SNORD74|SNORD44|SNORD75|SNORD76|SNORD77	+|+|-|-|-|-|-|-	564|564|-197|45|1762|852|1075|1419
chr1	17454682	17455383	15	0	0			
chr1	174968186	174969426	28	0	0	CACYBP|CACYBP	+|+	-236|85
chr1	174992235	174993056	20	0	0	MRPS14	-	84
chr1	17560113	17560785	15	0	0			
