# Argument List:
# Name = wgEncodeHaibTfbsK562Atf3V0416101PkRep1
# peak file = ../HaibTfbsK562Atf3V0416101Pk/wgEncodeHaibTfbsK562Atf3V0416101PkRep1.bed.broadPeak
# gene pos to peak = up,down
# distance = 2000 bp
# genome = hg19.refGene
# Output symbol as gene name = False
#chrom	pStart	pEnd	pName	pScore	NA	gene	strand	TSS2pCenter
chr1	100503463	100503740	peak697	33	0	NM_033055	+	187
chr1	10092516	10093133	peak134	48	0	NM_001105562|NM_006048	+|+	216|216
chr1	1014788	1014992	peak11	38	0			
chr1	101491209	101491584	peak698	286	0	NM_001077394|NM_001077395|NM_015958	-|-|-	34|34|34
chr1	1015120	1015359	peak12	37	0			
chr1	1015497	1015854	peak13	325	0			
chr1	10399915	10400190	peak135	63	0			
chr1	10490184	10490591	peak136	45	0	NM_198544|NM_199006|NM_199294|NR_036462	+|+|+|+	-229|-229|-229|416
chr1	10490604	10490917	peak137	74	0	NM_198544|NM_199006|NM_199294|NR_036462	+|+|+|+	-602|-602|-602|43
chr1	1051419	1051884	peak14	126	0	NM_017891	-	-85
chr1	10519224	10519468	peak138	38	0			
chr1	10532418	10532830	peak139	651	0	NM_004401|NM_213566	-|-	11|11
chr1	10616485	10616726	peak140	53	0			
chr1	10706374	10706728	peak141	155	0			
chr1	10711894	10712078	peak142	32	0			
chr1	107599106	107599401	peak699	49	0	NM_018137	+	13
chr1	108559105	108559379	peak700	149	0			
chr1	109102404	109102727	peak701	98	0	NM_001010883	+	405
chr1	10927199	10927525	peak143	37	0			
chr1	109359021	109359307	peak702	155	0			
chr1	109370778	109370936	peak703	63	0			
chr1	109373089	109373383	peak704	31	0			
chr1	109419476	109419890	peak705	211	0	NM_013296	+	-81
chr1	109505640	109506180	peak706	72	0	NM_001048210|NM_015127	-|-	-201|-201
chr1	109618452	109618874	peak707	137	0	NM_005645	-	39
chr1	109642551	109643252	peak708	115	0	NR_003023	+	-87
chr1	109655274	109655573	peak709	35	0	NM_001122961|NM_020775	-|+	-1056|1161
chr1	109733980	109734337	peak710	116	0			
chr1	109756358	109756634	peak711	36	0	NM_006513|NR_034072	+|+	18|18
chr1	109757449	109757677	peak712	41	0	NM_006513|NR_034072	+|+	-1049|-1049
chr1	109806176	109806617	peak713	93	0			
chr1	109940420	109940865	peak714	96	0	NM_002959	-	79
chr1	110009003	110009308	peak715	61	0	NM_001040709	+	-56
chr1	110052328	110052528	peak716	36	0	NM_020703	-	92
chr1	110074964	110075201	peak717	37	0			
chr1	110090914	110091450	peak718	89	0	NM_006496	+	3
chr1	110162254	110162703	peak719	51	0	NM_004037|NM_139156	+|+	797|-20
chr1	110316285	110316576	peak720	78	0			
chr1	110438416	110438750	peak721	90	0			
chr1	110444357	110444621	peak722	50	0			
chr1	110527015	110527673	peak723	49	0	NM_006621	+	-37
chr1	110572271	110572432	peak724	31	0			
chr1	110679596	110679771	peak725	38	0			
chr1	11072690	11073388	peak144	34	0	NM_007375	+	-361
chr1	110750437	110750677	peak726	39	0			
chr1	110880767	110881537	peak727	115	0	NM_022768|NR_036595	+|-	792|-641
chr1	110881679	110881907	peak728	102	0	NM_022768|NR_036595	+|-	151|0
chr1	110882404	110882724	peak729	34	0	NM_022768|NR_036595	+|-	-620|771
chr1	110950034	110950579	peak730	481	0	NM_006402	-	-240
chr1	111162044	111162231	peak731	33	0			
chr1	11120089	11120409	peak145	158	0	NM_003132	-	158
chr1	11159670	11160095	peak146	32	0	NM_001001998|NM_002685	-|-	-56|-56
chr1	111682448	111683052	peak732	209	0	NM_001007794|NM_006090|NM_178454	+|+|-	-502|82|-88
chr1	111991583	111992018	peak733	94	0	NM_001688|NM_024102	+|-	-58|-30
chr1	112282121	112282393	peak734	34	0	NM_019099	-	211
chr1	112289920	112290162	peak735	38	0			
chr1	112298006	112298704	peak736	111	0	NM_007204|NM_198926	+|-	-166|-64
chr1	112912288	112912565	peak737	43	0			
chr1	113008663	113009177	peak738	59	0	NM_004185	+	1119
chr1	113118127	113118340	peak739	91	0			
chr1	113162156	113162628	peak740	65	0	NM_006135|NM_017744|NM_138727|NM_138728|NM_138729	+|-|-|-|-	-318|352|352|352|352
chr1	113334895	113335036	peak741	49	0			
chr1	113406594	113406740	peak742	37	0			
chr1	113498636	113499178	peak743	266	0	NM_001166496|NM_003051	-|-	222|-68
chr1	113615261	113615518	peak744	32	0	NM_014813	+	441
chr1	113615539	113615953	peak745	31	0	NM_014813	+	84
chr1	1136810	1137027	peak15	41	0			
chr1	11379038	11379409	peak147	66	0			
chr1	113825607	113825820	peak746	45	0			
