# Argument List:
# Name = wgEncodeHaibTfbsK562Atf3V0416101PkRep1
# peak file = ../HaibTfbsK562Atf3V0416101Pk/wgEncodeHaibTfbsK562Atf3V0416101PkRep1.bed.broadPeak
# gene pos to peak = up,down
# distance = 2000 bp
# genome = hg19.refGene
# Output symbol as gene name = False
#chrom	gTSS	gTTS	gene	NA	strand	pName	TSS2pCenter
chr1	100503788	100548927	NM_033055	0	+	peak697	187
chr1	10093040	10241296	NM_001105562	0	+	peak134	216
chr1	10093040	10241296	NM_006048	0	+	peak134	216
chr1	101455179	101491362	NM_001077394	0	-	peak698	34
chr1	101455179	101491362	NM_001077395	0	-	peak698	34
chr1	101455179	101491362	NM_015958	0	-	peak698	34
chr1	10490158	10512059	NM_198544	0	+	peak136|peak137	-229|-602
chr1	10490158	10512059	NM_199006	0	+	peak136|peak137	-229|-602
chr1	10490158	10502872	NM_199294	0	+	peak136|peak137	-229|-602
chr1	10490803	10502872	NR_036462	0	+	peak136|peak137	416|43
chr1	1017197	1051736	NM_017891	0	-	peak14	-85
chr1	10520604	10532613	NM_004401	0	-	peak139	11
chr1	10520604	10532613	NM_213566	0	-	peak139	11
chr1	107599266	107601907	NM_018137	0	+	peak699	13
chr1	109102970	109181948	NM_001010883	0	+	peak701	405
chr1	109419602	109473043	NM_013296	0	+	peak705	-81
chr1	109472129	109506111	NM_001048210	0	-	peak706	-201
chr1	109472129	109506111	NM_015127	0	-	peak706	-201
chr1	109606997	109618624	NM_005645	0	-	peak707	39
chr1	109642814	109643234	NR_003023	0	+	peak708	-87
chr1	109648573	109656479	NM_001122961	0	-	peak709	-1056
chr1	109656584	109749401	NM_020775	0	+	peak709	1161
chr1	109756514	109780803	NM_006513	0	+	peak711|peak712	18|-1049
chr1	109756514	109760111	NR_034072	0	+	peak711|peak712	18|-1049
chr1	109852191	109940563	NM_002959	0	-	peak714	79
chr1	110009099	110024763	NM_001040709	0	+	peak715	-56
chr1	110049446	110052336	NM_020703	0	-	peak716	92
chr1	110091185	110138452	NM_006496	0	+	peak718	3
chr1	110163275	110174677	NM_004037	0	+	peak719	797
chr1	110162458	110174677	NM_139156	0	+	peak719	-20
chr1	110527307	110566363	NM_006621	0	+	peak723	-37
chr1	11072678	11085548	NM_007375	0	+	peak144	-361
chr1	110881944	110889303	NM_022768	0	+	peak727|peak728|peak729	792|151|-620
chr1	110828998	110881793	NR_036595	0	-	peak727|peak728|peak729	-641|0|771
chr1	110943878	110950546	NM_006402	0	-	peak730	-240
chr1	11114648	11120091	NM_003132	0	-	peak145	158
