# Argument List:
# Name = hot30
# peak file = hot30.bed
# gene pos to peak = up,down
# distance = 2000 bp
# genome = ../../../bin/peak2gene/hg19.refGene
# Output symbol as gene name = True
#chrom	gTSS	gTTS	gene	NA	strand	pName	TSS2pCenter
chr1	149858524	149858960	HIST2H2AC	0	+	39	-31
chr1	149856011	149858232	HIST2H2BE	0	-	39	323
chr1	149859019	149859466	HIST2H2AB	0	-	39	-911
chr1	154934774	154946959	SHC1	0	-	41|41	-405|-405
chr1	154947117	154951724	CKS1B	0	+	41|41	563|563
chr1	154948168	154948259	MIR4258	0	+	41	1614
chr1	154975111	154990998	ZBTB7B	0	+	33	1600
chr1	183441505	183523327	SMG7	0	+	35|35|35|35	503|503|503|503
chr10	102133332	102148110	NCRNA00263	0	+	31	-49
chr10	21783421	21786213	C10orf114	0	-	32	-740
chr10	21785491	21785570	MIR1915	0	-	32	-97
chr10	74033676	74035797	DDIT4	0	+	42	-24
chr11	58294345	58345639	LPXN	0	-	38	716
chr11	58346586	58388513	ZFP91	0	+	38	231
chr11	58346586	58393203	ZFP91-CNTF	0	+	38	231
chr11	65190268	65194001	NEAT1	0	+	36	-177
chr11	65769549	65771616	BANF1	0	+	33|33	-493|-493
chr11	65764016	65769578	EIF1AD	0	-	33	464
chr11	67131640	67141648	CLCF1	0	-	30|30	174|616
chr11	73498916	73575655	MRPL48	0	+	30	-402
chr12	110890291	110906526	GPN3	0	-	38|38|38	47|484|484
chr12	110906231	110928191	C12orf24	0	+	38	-342
chr12	14923654	14924065	HIST4H4	0	-	41	-703
chr12	47470382	47473734	AMIGO2	0	-	34|34	184|184
chr12	53400061	53435992	EIF4B	0	+	30	-406
chr12	53845885	53874945	PCBP2	0	+	34|34|34|34|34|34|34	-207|-207|-207|-207|-207|-207|-207
chr12	54674487	54679028	HNRNPA1	0	+	38|38	362|362
chr12	54624731	54673915	CBX5	0	-	38	210
chr12	54674532	54678663	HNRPA1L-2	0	+	38	407
chr12	57489194	57505196	STAT6	0	-	32|32|32|32|32|32	497|1604|497|497|497|497
chr12	62995530	62997214	C12orf61	0	-	32	-395
chr12	62997465	62997548	MIRLET7I	0	+	32	646
chr12	6643656	6647536	GAPDH	0	+	48	446
chr12	6775643	6797825	ZNF384	0	-	32|32|32|32|32|32|32	726|-118|24|-118|-118|-125|24
chr12	7053202	7055164	C12orf57	0	+	30	10
chr12	862088	1020617	WNK1	0	+	30|30|30|30	1005|1005|1005|1005
chr14	21152335	21162343	ANG	0	+	32	1673
chr14	21152371	21168757	RNASE4	0	+	32	1709
chr14	35870716	35873960	NFKBIA	0	-	30	-364
chr14	58875370	58894232	TIMM9	0	-	33	-88
chr14	58894709	59015548	KIAA0586	0	+	33	565
chr14	81646393	81687294	GTF2A1	0	-	32|32	-521|-802
chr15	50578078	50647605	GABPB1	0	-	32|32|32|32|32	-235|-235|-235|-235|-235
chr15	50646370	50650501	LOC100129387	0	+	32	-1000
chr15	50641136	50647076	FLJ10038	0	-	32	294
chr15	60639351	60690185	ANXA2	0	-	42|42|42|42	-111|-111|-111|-111
chr15	63796809	63883659	USP3	0	+	55	494
chr15	68570140	68583639	FEM1B	0	+	33	-192
