AFFYMETRIX_3PRIME_IVT_ID	Gene Name	Species	BBID	GOTERM_CC_FAT	BIOCARTA	GOTERM_MF_FAT	SMART	COG_ONTOLOGY	SP_PIR_KEYWORDS	KEGG_PATHWAY	INTERPRO	UP_SEQ_FEATURE	OMIM_DISEASE	GOTERM_BP_FAT	PIR_SUPERFAMILY
37166_at	3-hydroxyanthranilate 3,4-dioxygenase	Homo sapiens		GO:0000267~cell fraction,GO:0005625~soluble fraction,GO:0005739~mitochondrion,GO:0005740~mitochondrial envelope,GO:0005829~cytosol,GO:0031090~organelle membrane,GO:0031966~mitochondrial membrane,GO:0031967~organelle envelope,GO:0031975~envelope,GO:0044429~mitochondrial part,		GO:0000334~3-hydroxyanthranilate 3,4-dioxygenase activity,GO:0005506~iron ion binding,GO:0008198~ferrous iron binding,GO:0009055~electron carrier activity,GO:0016701~oxidoreductase activity, acting on single donors with incorporation of molecular oxygen,GO:0016702~oxidoreductase activity, acting on single donors with incorporation of molecular oxygen, incorporation of two atoms of oxygen,GO:0019825~oxygen binding,GO:0043167~ion binding,GO:0043169~cation binding,GO:0046872~metal ion binding,GO:0046914~transition metal ion binding,			3d-structure,alternative splicing,complete proteome,cytoplasm,dioxygenase,iron,metal-binding,oxidoreductase,polymorphism,pyridine nucleotide biosynthesis,	hsa00380:Tryptophan metabolism,	IPR010329:3-hydroxyanthranilic acid dioxygenase,IPR016700:3-hydroxyanthranilate 3, 4-dioxygenase, metazoan,	binding site:Dioxygen,binding site:Substrate,chain:3-hydroxyanthranilate 3,4-dioxygenase,helix,metal ion-binding site:Iron; catalytic,sequence variant,splice variant,strand,turn,		GO:0006732~coenzyme metabolic process,GO:0006733~oxidoreduction coenzyme metabolic process,GO:0006766~vitamin metabolic process,GO:0006767~water-soluble vitamin metabolic process,GO:0006769~nicotinamide metabolic process,GO:0009108~coenzyme biosynthetic process,GO:0009110~vitamin biosynthetic process,GO:0009165~nucleotide biosynthetic process,GO:0009820~alkaloid metabolic process,GO:0010035~response to inorganic substance,GO:0010038~response to metal ion,GO:0010043~response to zinc ion,GO:0016053~organic acid biosynthetic process,GO:0019362~pyridine nucleotide metabolic process,GO:0019363~pyridine nucleotide biosynthetic process,GO:0019674~NAD metabolic process,GO:0019725~cellular homeostasis,GO:0019748~secondary metabolic process,GO:0019805~quinolinate biosynthetic process,GO:0034404~nucleobase, nucleoside and nucleotide biosynthetic process,GO:0034654~nucleobase, nucleoside, nucleotide and nucleic acid biosynthetic process,GO:0042364~water-soluble vitamin biosynthetic process,GO:0042592~homeostatic process,GO:0043603~cellular amide metabolic process,GO:0043648~dicarboxylic acid metabolic process,GO:0044271~nitrogen compound biosynthetic process,GO:0046394~carboxylic acid biosynthetic process,GO:0046496~nicotinamide nucleotide metabolic process,GO:0046686~response to cadmium ion,GO:0046874~quinolinate metabolic process,GO:0051186~cofactor metabolic process,GO:0051188~cofactor biosynthetic process,GO:0055114~oxidation reduction,GO:0060249~anatomical structure homeostasis,GO:0070050~neuron maintenance,	PIRSF017681:3-hydroxyanthranilate 3,4-dioxygenase, animal type,PIRSF017681:3hydroanth_dOase_animal,
34467_g_at	5-hydroxytryptamine (serotonin) receptor 4	Homo sapiens		GO:0000267~cell fraction,GO:0005624~membrane fraction,GO:0005626~insoluble fraction,GO:0005768~endosome,GO:0005886~plasma membrane,GO:0005887~integral to plasma membrane,GO:0016021~integral to membrane,GO:0031224~intrinsic to membrane,GO:0031226~intrinsic to plasma membrane,GO:0044459~plasma membrane part,		GO:0004935~adrenoceptor activity,GO:0004993~serotonin receptor activity,GO:0008227~amine receptor activity,			alternative splicing,cell membrane,complete proteome,disulfide bond,endosome,G protein-coupled receptor,g-protein coupled receptor,glycoprotein,lipoprotein,membrane,neurotransmitter receptor,palmitate,polymorphism,receptor,transducer,transmembrane,transmembrane protein,	hsa04020:Calcium signaling pathway,hsa04080:Neuroactive ligand-receptor interaction,	IPR000276:7TM GPCR, rhodopsin-like,IPR001520:5-Hydroxytryptamine 4 receptor,IPR017452:GPCR, rhodopsin-like superfamily,	chain:5-hydroxytryptamine receptor 4,disulfide bond,glycosylation site:N-linked (GlcNAc...),lipid moiety-binding region:S-palmitoyl cysteine,sequence variant,splice variant,topological domain:Cytoplasmic,topological domain:Extracellular,transmembrane region,		GO:0007166~cell surface receptor linked signal transduction,GO:0007186~G-protein coupled receptor protein signaling pathway,GO:0007187~G-protein signaling, coupled to cyclic nucleotide second messenger,GO:0007242~intracellular signaling cascade,GO:0019932~second-messenger-mediated signaling,GO:0019935~cyclic-nucleotide-mediated signaling,	PIRSF038635:5-hydroxytryptamine receptor 4,PIRSF800006:rhodopsin-like G protein-coupled receptors,
41703_r_at	A kinase (PRKA) anchor protein 7	Homo sapiens		GO:0005829~cytosol,GO:0005886~plasma membrane,GO:0016324~apical plasma membrane,GO:0016328~lateral plasma membrane,GO:0031224~intrinsic to membrane,GO:0031225~anchored to membrane,GO:0044459~plasma membrane part,GO:0045177~apical part of cell,		GO:0019899~enzyme binding,GO:0019900~kinase binding,GO:0019901~protein kinase binding,GO:0051018~protein kinase A binding,			alternative splicing,cell membrane,complete proteome,cytoplasm,kinase,lipoprotein,membrane,myristate,palmitate,polymorphism,		IPR019510:Protein kinase A anchor protein, nuclear localisation signal domain,IPR019511:Protein kinase A anchor protein, RI-RII subunit-binding domain,	chain:A-kinase anchor protein 7 isoform gamma,chain:A-kinase anchor protein 7 isoforms alpha and beta,lipid moiety-binding region:N-myristoyl glycine,lipid moiety-binding region:S-palmitoyl cysteine,region of interest:Required for apical membrane localization,region of interest:Required for membrane localization,region of interest:RII-binding,sequence variant,splice variant,		GO:0006811~ion transport,GO:0007242~intracellular signaling cascade,GO:0008104~protein localization,	
40350_at	ADAM metallopeptidase domain 23	Homo sapiens		GO:0005576~extracellular region,GO:0005886~plasma membrane,GO:0005887~integral to plasma membrane,GO:0016021~integral to membrane,GO:0031224~intrinsic to membrane,GO:0031226~intrinsic to plasma membrane,GO:0044459~plasma membrane part,		GO:0004175~endopeptidase activity,GO:0004222~metalloendopeptidase activity,GO:0005178~integrin binding,GO:0008233~peptidase activity,GO:0008237~metallopeptidase activity,GO:0008270~zinc ion binding,GO:0032403~protein complex binding,GO:0043167~ion binding,GO:0043169~cation binding,GO:0046872~metal ion binding,GO:0046914~transition metal ion binding,GO:0070011~peptidase activity, acting on L-amino acid peptides,	SM00050:DISIN,SM00181:EGF,SM00608:ACR,		alternative splicing,cell adhesion,cell membrane,cleavage on pair of basic residues,complete proteome,disulfide bond,egf-like domain,glycoprotein,hydrolase,integrin,membrane,metal-binding,metalloprotease,phosphoprotein,Protease,Secreted,signal,transmembrane,		IPR000742:EGF-like, type 3,IPR001590:Peptidase M12B, ADAM/reprolysin,IPR001762:Blood coagulation inhibitor, Disintegrin,IPR002870:Peptidase M12B, propeptide,IPR006210:EGF-like,IPR006586:ADAM, cysteine-rich,IPR013032:EGF-like region, conserved site,IPR013111:EGF, extracellular,IPR018358:Disintegrin, conserved site,	chain:Disintegrin and metalloproteinase domain- containing protein 23,compositionally biased region:Cys-rich,disulfide bond,domain:Disintegrin,domain:EGF-like,domain:Peptidase M12B,glycosylation site:N-linked (GlcNAc...),modified residue,mutagenesis site,region of interest:May bind the integrin receptor,signal peptide,splice variant,topological domain:Cytoplasmic,topological domain:Extracellular,transmembrane region,		GO:0006508~proteolysis,GO:0007155~cell adhesion,GO:0007166~cell surface receptor linked signal transduction,GO:0007229~integrin-mediated signaling pathway,GO:0022610~biological adhesion,	
1575_at	ATP-binding cassette, sub-family B (MDR/TAP), member 1	Homo sapiens		GO:0000267~cell fraction,GO:0005624~membrane fraction,GO:0005626~insoluble fraction,GO:0005886~plasma membrane,GO:0005912~adherens junction,GO:0005924~cell-substrate adherens junction,GO:0005925~focal adhesion,GO:0009986~cell surface,GO:0016021~integral to membrane,GO:0016323~basolateral plasma membrane,GO:0030054~cell junction,GO:0030055~cell-substrate junction,GO:0031224~intrinsic to membrane,GO:0044459~plasma membrane part,GO:0070161~anchoring junction,	h_mrpPathway:Multi-Drug Resistance Factors,h_nuclearRsPathway:Nuclear Receptors in Lipid Metabolism and Toxicity,h_p53hypoxiaPathway:Hypoxia and p53 in the Cardiovascular system,	GO:0000166~nucleotide binding,GO:0001882~nucleoside binding,GO:0001883~purine nucleoside binding,GO:0005524~ATP binding,GO:0008559~xenobiotic-transporting ATPase activity,GO:0015238~drug transporter activity,GO:0015239~multidrug transporter activity,GO:0015399~primary active transmembrane transporter activity,GO:0015405~P-P-bond-hydrolysis-driven transmembrane transporter activity,GO:0016820~hydrolase activity, acting on acid anhydrides, catalyzing transmembrane movement of substances,GO:0016887~ATPase activity,GO:0017076~purine nucleotide binding,GO:0030554~adenyl nucleotide binding,GO:0032553~ribonucleotide binding,GO:0032555~purine ribonucleotide binding,GO:0032559~adenyl ribonucleotide binding,GO:0042623~ATPase activity, coupled,GO:0042626~ATPase activity, coupled to transmembrane movement of substances,GO:0042910~xenobiotic transporter activity,GO:0043492~ATPase activity, coupled to movement of substances,	SM00382:AAA,	Defense mechanisms,	ATP,atp-binding,complete proteome,duplication,glycoprotein,hydrolase,membrane,nucleotide binding,nucleotide-binding,P-loop,phosphoprotein,polymorphism,repeat,transmembrane,transmembrane protein,transport,	hsa02010:ABC transporters,	IPR001140:ABC transporter, transmembrane region,IPR003439:ABC transporter-like,IPR003593:ATPase, AAA+ type, core,IPR017871:ABC transporter, conserved site,IPR017940:ABC transporter integral membrane type 1,	chain:Multidrug resistance protein 1,domain:ABC transmembrane type-1 1,domain:ABC transmembrane type-1 2,domain:ABC transporter 1,domain:ABC transporter 2,glycosylation site:N-linked (GlcNAc...),modified residue,nucleotide phosphate-binding region:ATP 1,nucleotide phosphate-binding region:ATP 2,sequence conflict,sequence variant,topological domain:Cytoplasmic,transmembrane region,	Colchicine resistance,Inflammatory bowel disease 13, susceptibility to,	GO:0042493~response to drug,GO:0055085~transmembrane transport,	PIRSF002773:multidrug resistance protein,
40294_at	ATP-binding cassette, sub-family B (MDR/TAP), member 9	Homo sapiens		GO:0000323~lytic vacuole,GO:0005764~lysosome,GO:0005773~vacuole,GO:0005783~endoplasmic reticulum,GO:0016021~integral to membrane,GO:0031224~intrinsic to membrane,GO:0043190~ATP-binding cassette (ABC) transporter complex,		GO:0000166~nucleotide binding,GO:0001882~nucleoside binding,GO:0001883~purine nucleoside binding,GO:0005524~ATP binding,GO:0015399~primary active transmembrane transporter activity,GO:0015405~P-P-bond-hydrolysis-driven transmembrane transporter activity,GO:0016820~hydrolase activity, acting on acid anhydrides, catalyzing transmembrane movement of substances,GO:0016887~ATPase activity,GO:0017076~purine nucleotide binding,GO:0030554~adenyl nucleotide binding,GO:0032553~ribonucleotide binding,GO:0032555~purine ribonucleotide binding,GO:0032559~adenyl ribonucleotide binding,GO:0042623~ATPase activity, coupled,GO:0042626~ATPase activity, coupled to transmembrane movement of substances,GO:0043492~ATPase activity, coupled to movement of substances,	SM00382:AAA,		alternative splicing,atp-binding,complete proteome,endoplasmic reticulum,lysosome,membrane,nucleotide-binding,peptide transport,phosphoprotein,polymorphism,protein transport,signal,transmembrane,transport,	hsa02010:ABC transporters,hsa04142:Lysosome,	IPR001140:ABC transporter, transmembrane region,IPR003439:ABC transporter-like,IPR003593:ATPase, AAA+ type, core,IPR017871:ABC transporter, conserved site,IPR017940:ABC transporter integral membrane type 1,	chain:ATP-binding cassette sub-family B member 9,compositionally biased region:Poly-Glu,domain:ABC transmembrane type-1,domain:ABC transporter,modified residue,nucleotide phosphate-binding region:ATP,sequence variant,signal peptide,splice variant,transmembrane region,		GO:0007276~gamete generation,GO:0007283~spermatogenesis,GO:0008104~protein localization,GO:0015031~protein transport,GO:0015833~peptide transport,GO:0019953~sexual reproduction,GO:0032504~multicellular organism reproduction,GO:0045184~establishment of protein localization,GO:0048232~male gamete generation,GO:0048609~reproductive process in a multicellular organism,GO:0055085~transmembrane transport,	
32439_at	ATPase, H+/K+ exchanging, beta polypeptide	Homo sapiens		GO:0016021~integral to membrane,GO:0031224~intrinsic to membrane,		GO:0005391~sodium:potassium-exchanging ATPase activity,GO:0008900~hydrogen:potassium-exchanging ATPase activity,GO:0015077~monovalent inorganic cation transmembrane transporter activity,GO:0015078~hydrogen ion transmembrane transporter activity,GO:0015399~primary active transmembrane transporter activity,GO:0015405~P-P-bond-hydrolysis-driven transmembrane transporter activity,GO:0015662~ATPase activity, coupled to transmembrane movement of ions, phosphorylative mechanism,GO:0016820~hydrolase activity, acting on acid anhydrides, catalyzing transmembrane movement of substances,GO:0016887~ATPase activity,GO:0022890~inorganic cation transmembrane transporter activity,GO:0030955~potassium ion binding,GO:0031420~alkali metal ion binding,GO:0042623~ATPase activity, coupled,GO:0042625~ATPase activity, coupled to transmembrane movement of ions,GO:0042626~ATPase activity, coupled to transmembrane movement of substances,GO:0043167~ion binding,GO:0043169~cation binding,GO:0043492~ATPase activity, coupled to movement of substances,GO:0046872~metal ion binding,			complete proteome,disulfide bond,glycoprotein,Hydrogen ion transport,hydrolase,ion transport,membrane,potassium,potassium transport,Signal-anchor,transmembrane,transmembrane protein,transport,	hsa00190:Oxidative phosphorylation,	IPR000402:ATPase, P-type cation exchange, beta subunit,	chain:Potassium-transporting ATPase subunit beta,disulfide bond,glycosylation site:N-linked (GlcNAc...),topological domain:Cytoplasmic,topological domain:Extracellular,transmembrane region,		GO:0002237~response to molecule of bacterial origin,GO:0006163~purine nucleotide metabolic process,GO:0006164~purine nucleotide biosynthetic process,GO:0006754~ATP biosynthetic process,GO:0006811~ion transport,GO:0006812~cation transport,GO:0006813~potassium ion transport,GO:0006814~sodium ion transport,GO:0006818~hydrogen transport,GO:0009141~nucleoside triphosphate metabolic process,GO:0009142~nucleoside triphosphate biosynthetic process,GO:0009144~purine nucleoside triphosphate metabolic process,GO:0009145~purine nucleoside triphosphate biosynthetic process,GO:0009150~purine ribonucleotide metabolic process,GO:0009152~purine ribonucleotide biosynthetic process,GO:0009165~nucleotide biosynthetic process,GO:0009199~ribonucleoside triphosphate metabolic process,GO:0009201~ribonucleoside triphosphate biosynthetic process,GO:0009205~purine ribonucleoside triphosphate metabolic process,GO:0009206~purine ribonucleoside triphosphate biosynthetic process,GO:0009259~ribonucleotide metabolic process,GO:0009260~ribonucleotide biosynthetic process,GO:0009617~response to bacterium,GO:0009719~response to endogenous stimulus,GO:0010033~response to organic substance,GO:0010243~response to organic nitrogen,GO:0015672~monovalent inorganic cation transport,GO:0015992~proton transport,GO:0030001~metal ion transport,GO:0032496~response to lipopolysaccharide,GO:0034404~nucleobase, nucleoside and nucleotide biosynthetic process,GO:0034654~nucleobase, nucleoside, nucleotide and nucleic acid biosynthetic process,GO:0044271~nitrogen compound biosynthetic process,GO:0046034~ATP metabolic process,	PIRSF005757:Na(+)/K(+)-exchanging ATPase beta-3 chain,
39469_s_at	ATPase, aminophospholipid transporter-like, class I, type 8A, member 2	Homo sapiens		GO:0016021~integral to membrane,GO:0031224~intrinsic to membrane,		GO:0000166~nucleotide binding,GO:0000287~magnesium ion binding,GO:0001882~nucleoside binding,GO:0001883~purine nucleoside binding,GO:0004012~phospholipid-translocating ATPase activity,GO:0005319~lipid transporter activity,GO:0005524~ATP binding,GO:0005548~phospholipid transporter activity,GO:0015247~aminophospholipid transporter activity,GO:0015399~primary active transmembrane transporter activity,GO:0015405~P-P-bond-hydrolysis-driven transmembrane transporter activity,GO:0015662~ATPase activity, coupled to transmembrane movement of ions, phosphorylative mechanism,GO:0016820~hydrolase activity, acting on acid anhydrides, catalyzing transmembrane movement of substances,GO:0016887~ATPase activity,GO:0017076~purine nucleotide binding,GO:0030554~adenyl nucleotide binding,GO:0032553~ribonucleotide binding,GO:0032555~purine ribonucleotide binding,GO:0032559~adenyl ribonucleotide binding,GO:0042623~ATPase activity, coupled,GO:0042625~ATPase activity, coupled to transmembrane movement of ions,GO:0042626~ATPase activity, coupled to transmembrane movement of substances,GO:0043167~ion binding,GO:0043169~cation binding,GO:0043492~ATPase activity, coupled to movement of substances,GO:0046872~metal ion binding,			alternative splicing,atp-binding,complete proteome,hydrolase,magnesium,membrane,metal-binding,nucleotide-binding,phosphoprotein,polymorphism,transmembrane,		IPR001757:ATPase, P-type, K/Mg/Cd/Cu/Zn/Na/Ca/Na/H-transporter,IPR006539:ATPase, P-type, phospholipid-translocating, flippase,IPR008250:ATPase, P-type, ATPase-associated region,IPR018303:ATPase, P-type phosphorylation site,	active site:4-aspartylphosphate intermediate,chain:Probable phospholipid-transporting ATPase IB,metal ion-binding site:Magnesium,modified residue,sequence variant,splice variant,topological domain:Cytoplasmic,topological domain:Extracellular,transmembrane region,		GO:0006163~purine nucleotide metabolic process,GO:0006164~purine nucleotide biosynthetic process,GO:0006754~ATP biosynthetic process,GO:0006869~lipid transport,GO:0008285~negative regulation of cell proliferation,GO:0009141~nucleoside triphosphate metabolic process,GO:0009142~nucleoside triphosphate biosynthetic process,GO:0009144~purine nucleoside triphosphate metabolic process,GO:0009145~purine nucleoside triphosphate biosynthetic process,GO:0009150~purine ribonucleotide metabolic process,GO:0009152~purine ribonucleotide biosynthetic process,GO:0009165~nucleotide biosynthetic process,GO:0009199~ribonucleoside triphosphate metabolic process,GO:0009201~ribonucleoside triphosphate biosynthetic process,GO:0009205~purine ribonucleoside triphosphate metabolic process,GO:0009206~purine ribonucleoside triphosphate biosynthetic process,GO:0009259~ribonucleotide metabolic process,GO:0009260~ribonucleotide biosynthetic process,GO:0010876~lipid localization,GO:0015914~phospholipid transport,GO:0034404~nucleobase, nucleoside and nucleotide biosynthetic process,GO:0034654~nucleobase, nucleoside, nucleotide and nucleic acid biosynthetic process,GO:0042127~regulation of cell proliferation,GO:0044271~nitrogen compound biosynthetic process,GO:0046034~ATP metabolic process,	
33685_at	ATPase, class I, type 8B, member 3	Homo sapiens		GO:0000267~cell fraction,GO:0000299~integral to membrane of membrane fraction,GO:0001669~acrosomal vesicle,GO:0005624~membrane fraction,GO:0005626~insoluble fraction,GO:0016021~integral to membrane,GO:0016023~cytoplasmic membrane-bounded vesicle,GO:0030141~secretory granule,GO:0031224~intrinsic to membrane,GO:0031410~cytoplasmic vesicle,GO:0031982~vesicle,GO:0031988~membrane-bounded vesicle,		GO:0000166~nucleotide binding,GO:0000287~magnesium ion binding,GO:0001882~nucleoside binding,GO:0001883~purine nucleoside binding,GO:0004012~phospholipid-translocating ATPase activity,GO:0005319~lipid transporter activity,GO:0005524~ATP binding,GO:0005548~phospholipid transporter activity,GO:0015247~aminophospholipid transporter activity,GO:0015399~primary active transmembrane transporter activity,GO:0015405~P-P-bond-hydrolysis-driven transmembrane transporter activity,GO:0015662~ATPase activity, coupled to transmembrane movement of ions, phosphorylative mechanism,GO:0016820~hydrolase activity, acting on acid anhydrides, catalyzing transmembrane movement of substances,GO:0016887~ATPase activity,GO:0017076~purine nucleotide binding,GO:0030554~adenyl nucleotide binding,GO:0032553~ribonucleotide binding,GO:0032555~purine ribonucleotide binding,GO:0032559~adenyl ribonucleotide binding,GO:0042623~ATPase activity, coupled,GO:0042625~ATPase activity, coupled to transmembrane movement of ions,GO:0042626~ATPase activity, coupled to transmembrane movement of substances,GO:0043167~ion binding,GO:0043169~cation binding,GO:0043492~ATPase activity, coupled to movement of substances,GO:0046872~metal ion binding,			alternative splicing,atp-binding,complete proteome,hydrolase,magnesium,membrane,metal-binding,nucleotide-binding,phosphoprotein,polymorphism,transmembrane,		IPR001757:ATPase, P-type, K/Mg/Cd/Cu/Zn/Na/Ca/Na/H-transporter,IPR006539:ATPase, P-type, phospholipid-translocating, flippase,IPR008250:ATPase, P-type, ATPase-associated region,IPR013200:HAD superfamily hydrolase-like, type 3,IPR018247:EF-HAND 1,IPR018303:ATPase, P-type phosphorylation site,	active site:4-aspartylphosphate intermediate,chain:Probable phospholipid-transporting ATPase IK,metal ion-binding site:Magnesium,sequence variant,splice variant,topological domain:Cytoplasmic,topological domain:Extracellular,transmembrane region,		GO:0006163~purine nucleotide metabolic process,GO:0006164~purine nucleotide biosynthetic process,GO:0006754~ATP biosynthetic process,GO:0006869~lipid transport,GO:0007338~single fertilization,GO:0007339~binding of sperm to zona pellucida,GO:0008037~cell recognition,GO:0009141~nucleoside triphosphate metabolic process,GO:0009142~nucleoside triphosphate biosynthetic process,GO:0009144~purine nucleoside triphosphate metabolic process,GO:0009145~purine nucleoside triphosphate biosynthetic process,GO:0009150~purine ribonucleotide metabolic process,GO:0009152~purine ribonucleotide biosynthetic process,GO:0009165~nucleotide biosynthetic process,GO:0009199~ribonucleoside triphosphate metabolic process,GO:0009201~ribonucleoside triphosphate biosynthetic process,GO:0009205~purine ribonucleoside triphosphate metabolic process,GO:0009206~purine ribonucleoside triphosphate biosynthetic process,GO:0009259~ribonucleotide metabolic process,GO:0009260~ribonucleotide biosynthetic process,GO:0009566~fertilization,GO:0009988~cell-cell recognition,GO:0010876~lipid localization,GO:0015914~phospholipid transport,GO:0016044~membrane organization,GO:0019953~sexual reproduction,GO:0034204~lipid translocation,GO:0034404~nucleobase, nucleoside and nucleotide biosynthetic process,GO:0034654~nucleobase, nucleoside, nucleotide and nucleic acid biosynthetic process,GO:0035036~sperm-egg recognition,GO:0044271~nitrogen compound biosynthetic process,GO:0045332~phospholipid translocation,GO:0046034~ATP metabolic process,GO:0048610~reproductive cellular process,	
33027_at	ArfGAP with GTPase domain, ankyrin repeat and PH domain 4; ArfGAP with GTPase domain, ankyrin repeat and PH domain 6	Homo sapiens				GO:0005083~small GTPase regulator activity,GO:0005096~GTPase activator activity,GO:0008047~enzyme activator activity,GO:0008060~ARF GTPase activator activity,GO:0008270~zinc ion binding,GO:0030695~GTPase regulator activity,GO:0043167~ion binding,GO:0043169~cation binding,GO:0046872~metal ion binding,GO:0046914~transition metal ion binding,GO:0060589~nucleoside-triphosphatase regulator activity,	SM00105:ArfGap,SM00233:PH,SM00248:ANK,		ank repeat,complete proteome,GTPase activation,metal-binding,polymorphism,repeat,zinc,zinc-finger,		IPR001164:Arf GTPase activating protein,IPR001849:Pleckstrin homology,IPR002110:Ankyrin,IPR011993:Pleckstrin homology-type,	chain:Arf-GAP with GTPase, ANK repeat and PH domain-containing protein 4,chain:Arf-GAP with GTPase, ANK repeat and PH domain-containing protein 6,domain:Arf-GAP,domain:PH,repeat:ANK 1,repeat:ANK 2,sequence variant,zinc finger region:C4-type,		GO:0032012~regulation of ARF protein signal transduction,GO:0032312~regulation of ARF GTPase activity,GO:0032318~regulation of Ras GTPase activity,GO:0043087~regulation of GTPase activity,GO:0046578~regulation of Ras protein signal transduction,GO:0051056~regulation of small GTPase mediated signal transduction,GO:0051336~regulation of hydrolase activity,	
